training_id,employee_id,course_name,provider,category,start_date,completion_date,status,score_pct,hours_spent,cost_usd,certificate_earned,mandatory,ai_recommended,skill_gap_addressed
TRN00046,EMP01292,SQL Mastery,Internal,Domain,2023-08-19,2023-11-03,Completed,62,21,1794,No,Yes,Yes,JavaScript
TRN00047,EMP01399,Public Speaking,Pluralsight,Technical,2024-10-05,2024-10-03,Completed,100,38,796,No,Yes,No,Leadership
TRN00048,EMP01275,Public Speaking,Udemy,Technical,2024-09-27,2024-03-09,Passed,86,57,1867,Yes,Yes,No,Recruitment
TRN00049,EMP01184,Leadership Fundamentals,LinkedIn Learning,Compliance,2024-05-19,2024-04-05,Completed,72,75,81,No,No,No,HubSpot
TRN00050,EMP01930,React Development,Udemy,Soft Skills,2023-07-17,2023-03-24,Completed,98,29,151,No,Yes,Yes,TypeScript
TRN00051,EMP02051,AWS Certification,Coursera,Technical,2023-08-11,2024-07-09,Completed,91,62,391,No,Yes,Yes,Go
TRN00052,EMP02081,Diversity & Inclusion,Pluralsight,Domain,2023-04-07,,In Progress,,75,1415,No,No,Yes,Go
TRN00053,EMP01023,React Development,Harvard Online,Leadership,2024-03-16,,Enrolled,,67,1353,No,No,Yes,Deep Learning
TRN00054,EMP01130,Leadership Fundamentals,Pluralsight,Domain,2023-08-07,2023-08-19,Completed,94,10,1359,No,Yes,No,GCP
TRN00055,EMP02154,Leadership Fundamentals,Coursera,Compliance,2023-02-25,2024-01-04,Completed,79,27,1220,No,Yes,No,Project Management
TRN00056,EMP01908,Mental Health at Work,LinkedIn Learning,Leadership,2024-11-03,,In Progress,,33,1055,No,No,Yes,HR Analytics
TRN00057,EMP01463,Legal Compliance 2024,Udemy,Compliance,2024-06-13,,Dropped,,3,185,No,No,Yes,Leadership
TRN00058,EMP01757,React Development,Udemy,Technical,2023-02-06,2023-07-29,Completed,71,30,72,No,Yes,Yes,Azure
TRN00059,EMP02054,Conflict Resolution,Skillsoft,Domain,2024-02-13,,In Progress,,9,1730,No,Yes,No,Data Analysis
TRN00060,EMP01735,UX Design Thinking,LinkedIn Learning,Compliance,2023-02-20,2023-12-20,Completed,66,71,188,No,No,Yes,Project Management
TRN00061,EMP01133,Conflict Resolution,Harvard Online,Leadership,2023-05-22,2023-10-30,Completed,79,31,843,No,No,No,Python
TRN00062,EMP01382,Agile & Scrum,Coursera,Technical,2024-05-28,,In Progress,,7,109,No,Yes,Yes,Agile
TRN00063,EMP01408,Excel Advanced,LinkedIn Learning,Domain,2024-05-03,,In Progress,,35,1730,No,No,No,Figma
TRN00064,EMP01205,Legal Compliance 2024,LinkedIn Learning,Soft Skills,2023-04-03,2024-03-29,Completed,91,76,1914,No,Yes,Yes,Leadership
TRN00065,EMP02135,Security Awareness,LinkedIn Learning,Leadership,2023-12-19,2024-01-30,Completed,74,28,1017,No,Yes,No,Deep Learning
TRN00066,EMP01448,Data Privacy (GDPR),Coursera,Domain,2023-03-03,,In Progress,,5,1556,No,Yes,Yes,Kubernetes
TRN00067,EMP01369,Agile & Scrum,Harvard Online,Soft Skills,2024-04-05,2024-04-18,Completed,84,5,796,No,No,Yes,Leadership
TRN00068,EMP01980,Legal Compliance 2024,Pluralsight,Leadership,2023-10-30,,In Progress,,40,227,No,Yes,Yes,Tableau
TRN00069,EMP01452,Security Awareness,Coursera,Leadership,2023-06-29,,In Progress,,64,519,No,Yes,Yes,Performance Management
TRN00070,EMP01380,Product Management 101,Harvard Online,Leadership,2024-07-24,2024-07-30,Completed,65,27,885,No,No,Yes,Java
TRN00071,EMP01104,Mental Health at Work,LinkedIn Learning,Domain,2024-11-15,,In Progress,,66,1287,No,Yes,Yes,Docker
TRN00072,EMP01556,Mental Health at Work,Skillsoft,Soft Skills,2024-04-07,2024-08-31,Passed,79,13,627,Yes,No,Yes,Communication
TRN00073,EMP01005,SQL Mastery,Harvard Online,Soft Skills,2023-07-20,,In Progress,,7,1235,No,No,Yes,Data Analysis
TRN00074,EMP01747,Machine Learning Basics,Harvard Online,Soft Skills,2024-08-29,2024-07-13,Completed,83,21,1016,No,Yes,No,Performance Management
TRN00075,EMP01643,SQL Mastery,LinkedIn Learning,Compliance,2023-11-10,,In Progress,,51,1800,No,Yes,Yes,Adobe XD
TRN00076,EMP01554,Machine Learning Basics,Pluralsight,Leadership,2023-12-13,2024-08-04,Completed,67,33,201,No,Yes,Yes,TypeScript
TRN00077,EMP02137,Security Awareness,Skillsoft,Technical,2024-10-02,2024-06-27,Completed,65,46,1808,No,No,Yes,Excel
TRN00078,EMP01107,React Development,Harvard Online,Domain,2024-06-23,2024-02-26,Completed,84,6,1040,No,Yes,Yes,Docker
TRN00079,EMP01349,AWS Certification,Coursera,Soft Skills,2024-11-03,2024-08-22,Passed,81,23,353,Yes,No,Yes,UX Research
TRN00080,EMP01837,Product Management 101,LinkedIn Learning,Leadership,2023-01-20,,Enrolled,,28,163,No,No,No,Excel
TRN00081,EMP01961,Agile & Scrum,Harvard Online,Soft Skills,2023-06-12,2023-10-12,Completed,90,8,1739,No,No,Yes,Node.js
TRN00082,EMP01740,Agile & Scrum,LinkedIn Learning,Soft Skills,2023-08-17,2024-03-25,Completed,82,58,1945,No,No,Yes,HubSpot
TRN00083,EMP01996,UX Design Thinking,Harvard Online,Technical,2024-03-28,2023-08-26,Completed,72,2,137,No,No,No,UX Research
TRN00084,EMP01735,UX Design Thinking,Internal,Domain,2023-04-03,,In Progress,,49,1508,No,Yes,No,Agile
TRN00085,EMP02143,Agile & Scrum,Harvard Online,Leadership,2023-05-29,2024-07-25,Completed,84,34,315,No,Yes,Yes,Java
TRN00086,EMP01080,Legal Compliance 2024,Harvard Online,Technical,2023-11-08,2024-05-10,Passed,70,24,1670,Yes,Yes,Yes,Adobe XD
TRN00087,EMP01483,AWS Certification,Pluralsight,Leadership,2024-12-24,2023-11-21,Completed,65,51,577,No,No,Yes,Financial Modeling
TRN00088,EMP01969,Financial Analysis,LinkedIn Learning,Technical,2023-01-29,2024-06-15,Completed,80,30,1060,No,Yes,Yes,Recruitment
TRN00089,EMP01404,Python for Data Science,Harvard Online,Leadership,2024-09-22,,Enrolled,,52,1419,No,Yes,Yes,Performance Management
TRN00090,EMP01860,Data Privacy (GDPR),Internal,Domain,2024-07-08,2024-08-28,Completed,87,44,1512,No,Yes,Yes,AWS
TRN00091,EMP01153,Legal Compliance 2024,Coursera,Domain,2024-04-15,,In Progress,,68,1517,No,Yes,No,Go
TRN00092,EMP01387,AWS Certification,Internal,Leadership,2023-03-10,,Enrolled,,56,1804,No,No,No,C++
TRN00093,EMP01076,Mental Health at Work,Internal,Leadership,2024-05-19,,Enrolled,,71,1095,No,No,Yes,Java
TRN00094,EMP01800,Excel Advanced,Pluralsight,Compliance,2023-05-30,2024-11-01,Completed,93,48,958,No,No,Yes,TypeScript
TRN00095,EMP01490,Product Management 101,Skillsoft,Technical,2024-11-13,2024-01-12,Passed,61,53,1053,Yes,No,Yes,AWS
TRN00096,EMP01790,Agile & Scrum,Coursera,Leadership,2024-11-25,,In Progress,,64,1728,No,No,Yes,Figma
TRN00097,EMP01740,Diversity & Inclusion,Harvard Online,Compliance,2023-04-30,,Failed,76,80,1833,No,No,No,Go
TRN00098,EMP01542,AWS Certification,Skillsoft,Leadership,2024-08-08,,In Progress,,42,594,No,Yes,Yes,Deep Learning
TRN00099,EMP01138,Excel Advanced,Harvard Online,Compliance,2023-07-08,,Failed,84,73,402,No,No,Yes,Performance Management
TRN00100,EMP01501,SQL Mastery,Harvard Online,Domain,2023-12-28,,In Progress,,61,44,No,Yes,Yes,Java
TRN00101,EMP01795,UX Design Thinking,Coursera,Soft Skills,2023-06-22,,Failed,77,9,356,No,Yes,Yes,Go
TRN00102,EMP02192,Data Privacy (GDPR),Skillsoft,Soft Skills,2023-02-15,2023-07-27,Passed,94,16,1847,Yes,No,Yes,Rust
TRN00103,EMP01567,Leadership Fundamentals,LinkedIn Learning,Technical,2024-08-10,2024-02-10,Passed,71,56,295,Yes,Yes,Yes,Communication
TRN00104,EMP02141,UX Design Thinking,Udemy,Leadership,2024-03-12,2023-06-22,Passed,67,2,1483,Yes,No,Yes,Machine Learning
TRN00105,EMP02045,Docker & Kubernetes,Harvard Online,Soft Skills,2023-02-11,2024-03-18,Completed,85,61,754,No,No,Yes,Account Management
TRN00106,EMP01027,Public Speaking,Internal,Soft Skills,2023-01-17,2023-09-04,Completed,89,43,1364,No,Yes,No,UX Research
TRN00107,EMP01542,Leadership Fundamentals,Pluralsight,Domain,2023-07-28,,Failed,60,53,1148,No,Yes,Yes,UX Research
TRN00108,EMP01750,Docker & Kubernetes,Coursera,Compliance,2024-08-15,2024-12-06,Completed,86,64,305,No,No,Yes,Go
TRN00109,EMP02054,Agile & Scrum,Pluralsight,Technical,2024-03-15,,In Progress,,29,925,No,Yes,Yes,Figma
TRN00110,EMP02104,Communication Skills,Coursera,Soft Skills,2024-12-10,2024-06-27,Passed,94,73,1454,Yes,Yes,Yes,HR Analytics
TRN00111,EMP01640,Legal Compliance 2024,Coursera,Domain,2024-03-26,,In Progress,,62,79,No,Yes,No,Kubernetes
TRN00112,EMP02086,Security Awareness,LinkedIn Learning,Compliance,2023-09-12,2023-03-31,Completed,62,18,1271,No,Yes,Yes,AWS
TRN00113,EMP01037,Conflict Resolution,Internal,Compliance,2023-02-06,2023-02-06,Passed,97,25,1495,Yes,No,Yes,UX Research
TRN00114,EMP01215,Public Speaking,Pluralsight,Soft Skills,2023-04-21,,In Progress,,67,1749,No,Yes,Yes,Node.js
TRN00115,EMP01349,Excel Advanced,Coursera,Leadership,2023-04-18,,Enrolled,,40,1685,No,Yes,Yes,HubSpot
TRN00116,EMP02088,UX Design Thinking,Coursera,Domain,2023-05-16,,Failed,91,47,1404,No,No,Yes,Leadership
TRN00117,EMP01807,Legal Compliance 2024,LinkedIn Learning,Domain,2024-07-18,2024-11-27,Completed,79,55,1342,No,No,No,Excel
TRN00118,EMP01229,Security Awareness,Harvard Online,Domain,2024-02-13,2023-09-18,Completed,70,44,17,No,No,No,Figma
TRN00119,EMP01667,Legal Compliance 2024,LinkedIn Learning,Soft Skills,2024-02-01,2024-01-06,Completed,94,71,1838,No,No,Yes,Scrum
TRN00120,EMP01628,Communication Skills,LinkedIn Learning,Compliance,2023-01-27,,Enrolled,,12,143,No,No,Yes,React
TRN00121,EMP02196,Machine Learning Basics,Skillsoft,Technical,2024-07-21,2023-04-18,Completed,66,54,108,No,No,No,Machine Learning
TRN00122,EMP02080,Public Speaking,Harvard Online,Leadership,2024-09-17,2024-10-26,Completed,70,54,1502,No,Yes,Yes,Project Management
TRN00123,EMP01815,Security Awareness,Skillsoft,Technical,2023-06-10,2023-02-18,Completed,84,26,142,No,No,Yes,React
TRN00124,EMP01860,Machine Learning Basics,Udemy,Soft Skills,2024-08-22,2024-01-01,Completed,79,2,1360,No,No,No,Power BI
TRN00125,EMP02024,Communication Skills,Pluralsight,Leadership,2023-05-07,2024-12-25,Completed,91,24,1570,No,No,No,GCP
TRN00126,EMP02186,Excel Advanced,Coursera,Domain,2024-07-22,,In Progress,,74,1005,No,Yes,No,Node.js
TRN00127,EMP01450,Communication Skills,Coursera,Soft Skills,2024-03-29,2023-10-16,Completed,78,47,973,No,Yes,Yes,Performance Management
TRN00128,EMP01114,Legal Compliance 2024,Udemy,Compliance,2024-12-16,,Enrolled,,20,1746,No,Yes,No,Docker
TRN00129,EMP01133,Python for Data Science,Internal,Domain,2023-03-21,2023-08-25,Completed,87,50,1682,No,No,Yes,GCP
TRN00130,EMP01864,Leadership Fundamentals,Udemy,Domain,2023-08-16,2024-07-31,Completed,78,24,946,No,Yes,Yes,Data Analysis
TRN00131,EMP02063,Product Management 101,Internal,Technical,2024-03-02,2024-11-14,Completed,79,74,273,No,Yes,Yes,Salesforce
TRN00132,EMP02016,AWS Certification,Internal,Compliance,2023-02-20,2023-01-29,Completed,77,66,1854,No,No,Yes,UX Research
TRN00133,EMP01173,Machine Learning Basics,Harvard Online,Compliance,2024-03-15,2023-11-12,Completed,86,52,446,No,No,Yes,Tableau
TRN00134,EMP01067,Communication Skills,Skillsoft,Technical,2024-01-30,,Dropped,,28,493,No,No,No,Communication
TRN00135,EMP01929,Legal Compliance 2024,Pluralsight,Compliance,2024-09-03,,In Progress,,61,646,No,No,No,Communication
TRN00136,EMP01605,React Development,Internal,Leadership,2024-02-11,2024-03-27,Completed,76,75,1463,No,Yes,Yes,Marketing Analytics
TRN00137,EMP02025,Conflict Resolution,Pluralsight,Compliance,2023-01-13,,In Progress,,29,340,No,No,Yes,Kubernetes
TRN00138,EMP01163,Machine Learning Basics,Skillsoft,Compliance,2023-07-24,2024-12-19,Completed,68,38,1477,No,No,Yes,Customer Success
TRN00139,EMP01195,Conflict Resolution,Coursera,Technical,2023-01-17,2023-10-18,Completed,96,67,392,No,No,Yes,React
TRN00140,EMP01080,Mental Health at Work,Coursera,Domain,2024-07-28,2023-07-16,Completed,87,48,154,No,No,No,HR Analytics
TRN00141,EMP01088,Agile & Scrum,Pluralsight,Soft Skills,2024-05-07,2024-02-27,Completed,82,28,1268,No,No,Yes,React
TRN00142,EMP01060,Diversity & Inclusion,Udemy,Compliance,2023-04-04,2023-01-18,Completed,94,8,1019,No,No,Yes,HR Analytics
TRN00143,EMP01484,Excel Advanced,LinkedIn Learning,Compliance,2024-01-17,2023-04-25,Completed,73,57,563,No,Yes,Yes,Recruitment
TRN00144,EMP01438,Communication Skills,Skillsoft,Technical,2024-11-12,2024-11-24,Completed,95,44,1199,No,No,Yes,Deep Learning
TRN00145,EMP02159,AWS Certification,LinkedIn Learning,Compliance,2024-08-10,2024-01-01,Completed,96,80,1730,No,No,Yes,Machine Learning
TRN00146,EMP01398,Docker & Kubernetes,Coursera,Leadership,2024-02-05,2023-12-13,Completed,80,29,776,No,Yes,Yes,Excel
TRN00147,EMP01128,Legal Compliance 2024,Harvard Online,Technical,2023-07-29,2023-05-13,Completed,95,7,1373,No,Yes,Yes,Communication
TRN00148,EMP01291,Conflict Resolution,Coursera,Compliance,2023-10-01,,In Progress,,17,962,No,Yes,Yes,Account Management
TRN00149,EMP01605,Product Management 101,Harvard Online,Domain,2023-05-04,2023-03-06,Completed,66,39,1838,No,No,Yes,Data Visualization
TRN00150,EMP01260,AWS Certification,Internal,Soft Skills,2024-05-04,2023-01-15,Completed,71,17,767,No,Yes,Yes,UX Research
TRN00151,EMP01509,Excel Advanced,LinkedIn Learning,Compliance,2024-10-04,2024-08-21,Completed,98,52,1898,No,No,Yes,SQL
TRN00152,EMP01289,Communication Skills,Coursera,Soft Skills,2023-03-18,,Enrolled,,25,635,No,Yes,No,Project Management
TRN00153,EMP01549,Communication Skills,Harvard Online,Domain,2023-04-24,,Enrolled,,27,1888,No,No,Yes,SQL
TRN00154,EMP01487,Machine Learning Basics,Harvard Online,Compliance,2023-01-15,2024-01-29,Completed,60,11,1719,No,No,No,Azure
TRN00155,EMP02017,Financial Analysis,Skillsoft,Domain,2023-10-09,2024-09-02,Completed,95,38,527,No,No,No,Data Analysis
TRN00156,EMP01904,Leadership Fundamentals,Coursera,Leadership,2023-10-31,2024-06-12,Completed,66,27,1741,No,Yes,No,Product Management
TRN00157,EMP01308,SQL Mastery,Internal,Domain,2023-10-09,,Failed,64,58,717,No,Yes,Yes,JavaScript
TRN00158,EMP01985,UX Design Thinking,Internal,Compliance,2024-07-02,2023-05-26,Completed,81,43,534,No,Yes,Yes,Java
TRN00159,EMP01811,Conflict Resolution,Coursera,Soft Skills,2023-07-23,,Enrolled,,45,1571,No,No,Yes,Python
TRN00160,EMP01492,Excel Advanced,Coursera,Domain,2023-03-05,2024-05-07,Completed,68,74,512,No,No,No,Product Management
TRN00161,EMP01561,Docker & Kubernetes,Udemy,Technical,2023-08-07,2024-09-08,Completed,85,24,1412,No,No,Yes,NLP
TRN00162,EMP01791,Financial Analysis,LinkedIn Learning,Leadership,2023-01-24,,In Progress,,17,1369,No,Yes,Yes,SQL
TRN00163,EMP01423,UX Design Thinking,Pluralsight,Soft Skills,2024-09-24,2023-08-21,Completed,96,35,330,No,No,Yes,Tableau
TRN00164,EMP02087,Diversity & Inclusion,Pluralsight,Technical,2023-12-26,,Enrolled,,55,753,No,No,Yes,Adobe XD
TRN00165,EMP01084,Docker & Kubernetes,LinkedIn Learning,Compliance,2024-04-16,2024-04-20,Completed,61,51,574,No,Yes,Yes,Product Management
TRN00166,EMP01490,Security Awareness,Pluralsight,Domain,2023-06-08,,In Progress,,36,1771,No,No,Yes,Data Analysis
TRN00167,EMP01474,Conflict Resolution,Pluralsight,Domain,2023-11-16,,Enrolled,,29,1551,No,Yes,Yes,Data Analysis
TRN00168,EMP01976,Data Privacy (GDPR),Internal,Technical,2024-02-06,,Dropped,,20,1786,No,No,Yes,Excel
TRN00169,EMP02027,Data Privacy (GDPR),Coursera,Domain,2023-05-21,2024-08-22,Completed,78,62,1889,No,No,No,Communication
TRN00170,EMP02158,UX Design Thinking,Internal,Technical,2023-07-16,2024-11-10,Completed,67,71,842,No,No,No,HR Analytics
TRN00171,EMP01268,Data Privacy (GDPR),LinkedIn Learning,Domain,2023-04-27,,In Progress,,24,1241,No,No,No,Salesforce
TRN00172,EMP01417,Communication Skills,Internal,Leadership,2023-05-08,,In Progress,,74,1501,No,No,Yes,SQL
TRN00173,EMP01927,Public Speaking,LinkedIn Learning,Technical,2023-08-21,2024-02-13,Completed,79,41,1391,No,No,No,Kubernetes
TRN00174,EMP01841,Diversity & Inclusion,Pluralsight,Compliance,2023-11-14,2023-02-14,Completed,67,34,915,No,Yes,Yes,Machine Learning
TRN00175,EMP01289,Public Speaking,Harvard Online,Leadership,2023-04-23,2024-04-28,Completed,69,47,1048,No,Yes,Yes,Power BI
TRN00176,EMP01383,Security Awareness,Internal,Technical,2024-10-16,,Enrolled,,66,1732,No,Yes,No,Leadership
TRN00177,EMP01475,Agile & Scrum,Udemy,Domain,2024-09-14,,In Progress,,74,763,No,Yes,Yes,AWS
TRN00178,EMP01929,Legal Compliance 2024,LinkedIn Learning,Compliance,2024-03-30,,Dropped,,49,1961,No,No,Yes,Data Analysis
TRN00179,EMP01566,Mental Health at Work,Udemy,Leadership,2023-01-25,2023-11-07,Completed,89,7,1452,No,Yes,Yes,Rust
TRN00180,EMP02116,Security Awareness,LinkedIn Learning,Technical,2024-01-21,2024-06-05,Completed,71,16,1500,No,Yes,Yes,Data Analysis
TRN00181,EMP01532,SQL Mastery,Harvard Online,Domain,2024-10-06,,In Progress,,58,1268,No,No,Yes,Performance Management
TRN00182,EMP02165,React Development,Skillsoft,Soft Skills,2024-12-20,2023-09-28,Passed,83,21,541,Yes,Yes,No,Leadership
TRN00183,EMP01733,Security Awareness,Udemy,Compliance,2024-09-01,,In Progress,,10,1618,No,No,No,Kubernetes
TRN00184,EMP01251,Data Privacy (GDPR),Internal,Leadership,2023-02-04,,In Progress,,25,747,No,No,No,Financial Modeling
TRN00185,EMP02193,Financial Analysis,Harvard Online,Compliance,2023-05-20,2023-06-11,Completed,62,43,602,No,No,Yes,Legal Research
TRN00186,EMP01163,Mental Health at Work,Skillsoft,Domain,2024-02-16,2024-04-03,Completed,75,33,1335,No,No,Yes,Product Management
TRN00187,EMP01659,React Development,Skillsoft,Soft Skills,2023-05-30,2023-07-31,Completed,63,2,1282,No,Yes,No,SQL
TRN00188,EMP01886,UX Design Thinking,LinkedIn Learning,Leadership,2024-03-16,,Failed,72,18,1219,No,No,Yes,Azure
TRN00189,EMP01568,Communication Skills,Coursera,Compliance,2024-12-08,2024-03-09,Passed,100,62,552,Yes,No,Yes,Data Visualization
TRN00190,EMP01415,Leadership Fundamentals,Udemy,Technical,2023-08-06,,Dropped,,54,805,No,Yes,Yes,Java
TRN00191,EMP01977,Communication Skills,Internal,Domain,2024-04-10,,Enrolled,,16,1394,No,No,No,Tableau
TRN00192,EMP01383,Python for Data Science,LinkedIn Learning,Soft Skills,2023-03-10,2024-06-28,Passed,100,72,832,Yes,No,Yes,Salesforce
TRN00193,EMP01267,Mental Health at Work,Skillsoft,Leadership,2024-02-04,2023-05-07,Completed,88,22,946,No,No,No,Node.js
TRN00194,EMP01016,Product Management 101,Coursera,Technical,2024-01-18,2024-07-28,Completed,95,24,1647,No,No,Yes,Product Management
TRN00195,EMP01538,Agile & Scrum,Pluralsight,Domain,2023-10-03,2024-11-18,Completed,96,58,528,No,No,Yes,JavaScript
TRN00196,EMP01879,React Development,LinkedIn Learning,Compliance,2023-02-21,,In Progress,,62,1351,No,Yes,Yes,Machine Learning
TRN00197,EMP01996,Product Management 101,Internal,Technical,2023-04-10,2023-11-29,Completed,81,44,373,No,No,Yes,JavaScript
TRN00198,EMP02159,Docker & Kubernetes,Pluralsight,Soft Skills,2023-02-25,2023-04-27,Completed,83,72,130,No,Yes,Yes,JavaScript
TRN00199,EMP01747,SQL Mastery,Pluralsight,Compliance,2023-07-15,,Failed,67,11,1573,No,No,Yes,Performance Management
TRN00200,EMP01473,AWS Certification,LinkedIn Learning,Soft Skills,2023-05-31,,In Progress,,28,538,No,No,Yes,Financial Modeling
TRN00201,EMP01822,Legal Compliance 2024,Harvard Online,Technical,2023-08-11,2024-05-14,Completed,84,51,1654,No,No,Yes,Financial Modeling
TRN00202,EMP01094,Python for Data Science,Internal,Technical,2023-12-18,2023-03-03,Completed,86,39,57,No,No,Yes,SQL
TRN00203,EMP01787,Diversity & Inclusion,Skillsoft,Compliance,2023-01-23,2024-12-15,Completed,66,39,1485,No,No,Yes,Rust
