payroll_id,employee_id,pay_period,base_salary_monthly,bonus,overtime_pay,gross_pay,tax_deduction,health_insurance,retirement_401k,other_deductions,net_pay,payment_method,department,currency
PAY000020,EMP02188,Jun 2024,8634.5,1964.14,1178.7,11777.35,1118.28,595.15,461.4,98.9,9913.56,Check,Security,USD
PAY000021,EMP01793,Feb 2024,26526.08,3648.19,1435.08,31609.35,4428.89,454.28,2140.2,37.44,24227.86,Direct Deposit,Security,USD
PAY000022,EMP01408,Nov 2024,14219.33,3040.05,172.08,17431.46,2516.23,271.09,510.84,199.9,13237.75,Direct Deposit,Design,USD
PAY000023,EMP02176,May 2024,10789.25,862.1,263.16,11914.51,1644.75,359.81,1021.47,5.65,9173.27,Check,Data Science,USD
PAY000024,EMP01549,Sep 2024,10318.67,2009.71,501.83,12830.21,1368.38,309.28,324.51,172.17,10549.58,Check,Data Science,USD
PAY000025,EMP01285,May 2024,9497.08,1019.22,451.59,10967.89,1176.35,378.28,598.66,193.15,9007.32,Check,Finance,USD
PAY000026,EMP02010,Nov 2024,16438.83,2471.0,1413.51,20323.34,2805.38,718.73,1092.25,99.66,15647.71,Check,Research,USD
PAY000027,EMP01447,Oct 2024,11594.58,671.26,1180.55,13446.4,1967.95,739.69,770.43,68.58,10166.48,Direct Deposit,Data Science,USD
PAY000028,EMP01656,Nov 2024,6402.67,1213.84,945.0,8561.51,945.13,439.05,264.53,33.34,6986.28,Check,Sales,USD
PAY000029,EMP02141,Apr 2024,9294.08,68.17,456.37,9818.63,1771.55,562.46,496.85,43.06,6866.05,Direct Deposit,Security,USD
PAY000030,EMP01152,Jun 2024,9492.42,503.33,133.34,10129.08,1756.96,597.13,933.97,15.19,7200.81,Check,Design,USD
PAY000031,EMP01481,Nov 2024,7890.75,1518.89,120.64,9530.29,1078.56,446.36,280.11,117.53,7732.68,Check,Legal,USD
PAY000032,EMP01505,Jun 2024,14453.25,377.6,578.53,15409.37,2290.44,380.96,760.99,102.84,11591.97,Check,Marketing,USD
PAY000033,EMP01805,Dec 2024,8441.58,6.52,175.51,8623.61,1714.03,358.07,490.24,138.87,5766.9,Direct Deposit,QA,USD
PAY000034,EMP01868,Nov 2024,9654.33,1.19,212.31,9867.83,1579.58,402.09,397.45,60.86,7235.21,Check,Customer Success,USD
PAY000035,EMP01242,Jun 2024,16631.0,2681.69,320.76,19633.46,2789.64,266.62,555.97,126.59,14984.06,Direct Deposit,Operations,USD
PAY000036,EMP01399,Jan 2024,14296.42,53.31,142.01,14491.74,2331.16,786.35,892.17,93.05,10606.48,Direct Deposit,Data Science,USD
PAY000037,EMP01508,Oct 2024,5807.58,909.98,120.86,6838.43,754.9,385.35,228.57,196.82,5580.26,Check,Customer Success,USD
PAY000038,EMP01158,Jul 2024,9264.25,103.42,305.63,9673.3,1433.07,750.47,283.82,41.96,7284.86,Check,Legal,USD
PAY000039,EMP02073,Nov 2024,9589.42,1336.61,651.24,11577.27,1765.36,401.97,938.47,147.89,8634.99,Check,Sales,USD
PAY000040,EMP02172,Dec 2024,10560.25,1676.13,776.49,13012.87,1884.67,555.13,916.48,66.07,9871.76,Check,Security,USD
PAY000041,EMP01370,Feb 2024,11694.42,1385.95,632.87,13713.24,2043.04,425.84,873.03,67.34,10308.17,Check,Security,USD
PAY000042,EMP01525,Apr 2024,11246.67,783.93,477.31,12507.91,1735.5,208.97,357.94,49.62,9615.41,Direct Deposit,Security,USD
PAY000043,EMP01631,Sep 2024,10235.33,1725.42,770.5,12731.26,2125.68,652.22,452.33,0.67,9188.45,Check,Legal,USD
PAY000044,EMP02051,Apr 2024,15326.33,2048.86,1028.68,18403.87,2594.94,240.02,770.35,81.19,14078.98,Check,HR,USD
PAY000045,EMP02015,Feb 2024,8542.25,870.87,604.58,10017.71,1229.04,594.79,810.41,22.47,7969.3,Direct Deposit,Security,USD
PAY000046,EMP01990,Feb 2024,10081.58,1927.36,448.68,12457.63,1340.59,499.8,989.94,61.59,10223.31,Check,Product,USD
PAY000047,EMP01008,Apr 2024,17397.83,854.89,0.0,18252.72,3216.18,597.47,548.18,124.79,12892.42,Direct Deposit,Operations,USD
PAY000048,EMP01685,Sep 2024,7217.42,558.41,664.65,8440.48,1320.94,348.63,512.12,111.54,6238.91,Direct Deposit,Marketing,USD
PAY000049,EMP01292,Feb 2024,10389.5,298.88,595.19,11283.57,2063.82,311.91,501.49,56.13,7843.87,Direct Deposit,Engineering,USD
PAY000050,EMP01405,Mar 2024,18693.75,1853.66,183.81,20731.22,3067.56,618.45,1341.56,90.31,15618.62,Direct Deposit,Research,USD
PAY000051,EMP01512,Dec 2024,12164.25,2217.77,73.97,14456.0,2114.43,775.59,1069.55,176.9,10931.94,Direct Deposit,Customer Success,USD
PAY000052,EMP01400,Sep 2024,24371.92,1703.89,789.69,26865.49,4329.53,795.21,1708.47,55.92,19649.61,Direct Deposit,Product,USD
PAY000053,EMP01441,Nov 2024,6485.42,44.83,631.9,7162.15,1247.03,546.83,203.53,5.42,5083.76,Direct Deposit,HR,USD
PAY000054,EMP01508,Aug 2024,5807.58,737.89,689.93,7235.4,870.08,430.67,206.86,53.18,5785.26,Direct Deposit,Customer Success,USD
PAY000055,EMP01474,Jan 2024,8496.42,409.94,578.28,9484.63,1226.15,616.65,537.22,61.59,7441.05,Check,DevOps,USD
PAY000056,EMP01273,Apr 2024,14497.17,2633.35,0.0,17130.51,2699.72,562.05,796.75,159.17,12630.97,Check,Design,USD
PAY000057,EMP02166,Feb 2024,7871.58,1717.45,1037.78,10626.82,1400.73,247.48,527.1,29.44,8292.27,Check,Operations,USD
PAY000058,EMP01185,Mar 2024,15111.5,3640.37,855.57,19607.44,3027.14,581.19,1240.73,83.66,14562.21,Check,DevOps,USD
PAY000059,EMP01184,Nov 2024,15130.17,3173.52,753.82,19057.51,2461.01,560.72,830.14,71.49,14955.82,Direct Deposit,Sales,USD
PAY000060,EMP02051,May 2024,15326.33,1079.89,645.04,17051.27,1859.82,385.86,1098.01,43.07,13951.56,Check,HR,USD
PAY000061,EMP01578,Jan 2024,15634.75,3659.4,1149.0,20443.15,2844.83,563.4,1509.48,154.86,15701.77,Check,Legal,USD
PAY000062,EMP02029,Dec 2024,12539.83,233.32,213.73,12986.89,2070.36,570.94,1239.25,178.57,9536.28,Direct Deposit,Marketing,USD
PAY000063,EMP01368,Oct 2024,16872.58,619.93,1107.15,18599.66,2158.88,230.57,1480.65,33.98,15001.54,Check,Engineering,USD
PAY000064,EMP01620,Apr 2024,13864.25,493.97,425.36,14783.58,1691.16,222.43,1130.0,176.21,11964.98,Direct Deposit,Legal,USD
PAY000065,EMP01297,Nov 2024,8934.58,1250.46,725.2,10910.25,1248.03,726.17,584.47,130.08,8830.2,Direct Deposit,Engineering,USD
PAY000066,EMP01152,May 2024,9492.42,465.91,910.09,10868.41,1838.93,690.69,480.56,51.75,7803.54,Direct Deposit,Design,USD
PAY000067,EMP01246,Dec 2024,7241.25,500.42,431.26,8172.94,1320.28,521.69,447.19,111.96,5972.47,Direct Deposit,Finance,USD
PAY000068,EMP01603,Jul 2024,10471.5,836.37,710.19,12018.06,1416.34,293.81,944.43,139.95,9657.49,Check,Operations,USD
PAY000069,EMP01974,Aug 2024,11232.33,2625.7,0.0,13858.03,1505.71,719.53,976.6,186.8,11348.52,Check,Engineering,USD
PAY000070,EMP01116,Feb 2024,10417.0,915.85,43.11,11375.96,1996.3,585.58,757.4,60.06,8048.8,Direct Deposit,Product,USD
PAY000071,EMP01806,Jan 2024,6598.92,407.63,1443.67,8450.21,1005.92,487.77,198.66,8.38,6773.68,Check,Customer Success,USD
PAY000072,EMP01588,Apr 2024,10410.5,160.63,293.84,10864.96,2137.39,395.93,395.94,4.92,7302.64,Direct Deposit,Security,USD
PAY000073,EMP02189,Dec 2024,9446.5,472.7,476.53,10395.73,1576.34,508.12,442.27,116.45,7768.5,Check,Marketing,USD
PAY000074,EMP02179,Jul 2024,8936.75,147.27,516.48,9600.5,1570.21,425.81,718.7,77.82,6983.48,Direct Deposit,Security,USD
PAY000075,EMP02121,Jan 2024,6606.67,949.14,59.13,7614.93,1090.53,732.97,306.55,32.07,5797.38,Direct Deposit,QA,USD
PAY000076,EMP02064,Feb 2024,6909.83,1021.31,955.15,8886.29,998.32,568.22,541.88,55.53,7222.42,Check,QA,USD
PAY000077,EMP01066,Jun 2024,11409.67,1288.92,105.47,12804.06,2123.27,374.17,960.42,3.66,9265.28,Check,Security,USD
PAY000078,EMP01811,Aug 2024,8956.67,1126.8,746.6,10830.07,1312.43,497.77,706.15,182.28,8642.7,Direct Deposit,Sales,USD
PAY000079,EMP01119,Sep 2024,16315.92,353.38,790.04,17459.33,3119.19,417.73,997.22,108.2,12260.68,Direct Deposit,HR,USD
PAY000080,EMP02185,Feb 2024,10412.33,2306.35,85.0,12803.67,1424.91,783.44,352.48,65.09,10428.83,Check,HR,USD
PAY000081,EMP01798,Nov 2024,9647.92,907.87,423.96,10979.75,1863.72,484.5,844.52,133.84,7873.55,Direct Deposit,Research,USD
PAY000082,EMP02045,Apr 2024,23425.58,3401.64,717.55,27544.78,3917.33,600.12,1902.27,190.89,21015.9,Check,Security,USD
PAY000083,EMP01571,May 2024,10939.5,1726.79,1261.53,13927.82,1656.9,398.06,349.41,26.82,11166.31,Direct Deposit,Legal,USD
PAY000084,EMP01585,Jul 2024,12933.5,2329.47,496.96,15759.93,2353.49,648.69,704.04,111.67,11837.44,Check,QA,USD
PAY000085,EMP01051,Feb 2024,10813.67,535.86,258.0,11607.53,1860.71,459.92,693.38,166.11,8506.34,Direct Deposit,Security,USD
PAY000086,EMP01435,Nov 2024,16170.17,754.3,180.6,17105.07,1974.14,714.88,866.43,122.87,13814.84,Check,Marketing,USD
PAY000087,EMP01266,Mar 2024,10624.42,1502.43,485.47,12612.31,1581.98,263.01,712.27,39.03,9975.67,Direct Deposit,Product,USD
PAY000088,EMP01438,Aug 2024,20227.17,4618.16,0.0,24845.33,3823.47,284.81,1170.53,187.61,18472.88,Check,Product,USD
PAY000089,EMP01881,May 2024,9096.5,201.79,291.5,9589.79,1132.72,245.56,523.83,137.5,7701.93,Direct Deposit,Legal,USD
PAY000090,EMP01966,May 2024,9260.17,357.57,1110.48,10728.21,1640.63,542.93,675.49,171.73,7993.83,Direct Deposit,Finance,USD
PAY000091,EMP01247,Mar 2024,11641.33,2075.87,1348.31,15065.51,2002.06,431.02,497.25,183.0,11728.74,Direct Deposit,Engineering,USD
PAY000092,EMP01781,Jul 2024,5235.92,588.83,55.34,5880.09,824.01,795.99,171.28,158.88,4506.73,Direct Deposit,Customer Success,USD
PAY000093,EMP02194,Apr 2024,9901.33,846.48,468.66,11216.48,1454.18,407.98,556.94,54.01,8792.85,Check,Legal,USD
PAY000094,EMP01797,Jul 2024,14599.83,216.02,1413.8,16229.65,2437.7,485.34,1060.48,177.62,12166.81,Direct Deposit,DevOps,USD
PAY000095,EMP01734,Dec 2024,5574.33,260.8,1302.8,7137.93,823.55,751.9,532.64,98.4,5765.35,Check,HR,USD
PAY000096,EMP01528,Apr 2024,6924.17,181.61,609.87,7715.64,1098.38,575.33,313.34,136.02,5885.01,Direct Deposit,Sales,USD
PAY000097,EMP01075,Feb 2024,10271.25,225.56,534.01,11030.82,1397.33,382.19,903.83,51.7,8701.93,Direct Deposit,Customer Success,USD
PAY000098,EMP01111,Jun 2024,11594.67,2595.81,440.4,14630.87,1462.6,560.97,482.51,69.42,12193.2,Check,Design,USD
PAY000099,EMP01280,Nov 2024,6827.5,291.74,120.46,7239.71,1279.42,529.32,426.61,195.75,5107.34,Direct Deposit,Operations,USD
PAY000100,EMP02169,Apr 2024,17174.25,4250.9,422.97,21848.12,2425.71,734.21,1149.43,141.75,17805.28,Direct Deposit,Product,USD
PAY000101,EMP01879,Apr 2024,8608.0,1211.42,1069.87,10889.29,1632.97,517.71,855.27,96.6,8167.68,Direct Deposit,Security,USD
PAY000102,EMP01906,Sep 2024,9269.08,349.63,784.61,10403.33,1578.23,263.6,857.17,19.16,7772.94,Check,Marketing,USD
PAY000103,EMP01348,Mar 2024,10977.33,1388.23,236.23,12601.79,1341.82,326.09,934.37,156.34,10365.42,Check,Data Science,USD
PAY000104,EMP01033,Dec 2024,20985.75,1411.51,80.77,22478.03,3188.69,422.59,1228.32,105.99,17163.55,Direct Deposit,Product,USD
PAY000105,EMP01366,Feb 2024,7028.42,885.57,990.11,8904.1,1340.44,224.32,438.9,53.08,6670.03,Direct Deposit,Finance,USD
PAY000106,EMP01237,Jul 2024,9994.25,188.86,521.78,10704.89,1701.77,461.9,778.98,1.83,7868.61,Direct Deposit,Research,USD
PAY000107,EMP01241,May 2024,25941.33,1007.31,134.94,27083.58,4241.56,342.59,2007.88,194.48,20014.31,Direct Deposit,Security,USD
PAY000108,EMP01185,Apr 2024,15111.5,1280.79,883.47,17275.75,3047.94,318.11,813.2,189.99,12195.85,Direct Deposit,DevOps,USD
PAY000109,EMP01125,Jan 2024,8093.25,1779.67,447.44,10320.36,1199.84,572.16,738.85,146.05,8320.63,Check,QA,USD
PAY000110,EMP01170,Apr 2024,10836.75,1497.45,1005.36,13339.56,1822.99,235.7,662.28,84.45,10301.25,Check,DevOps,USD
PAY000111,EMP01110,Dec 2024,6763.33,1033.75,533.39,8330.48,900.3,746.48,523.9,74.13,6829.98,Check,Design,USD
PAY000112,EMP01761,Mar 2024,8337.67,1573.02,730.82,10641.5,1313.21,437.68,790.29,11.66,8452.82,Check,Marketing,USD
PAY000113,EMP01296,Nov 2024,7877.67,1104.16,0.0,8981.82,1264.14,424.1,532.09,145.66,6874.92,Direct Deposit,Design,USD
PAY000114,EMP01086,Aug 2024,9904.17,587.28,325.55,10817.0,2041.11,430.52,324.21,35.94,7415.14,Check,DevOps,USD
PAY000115,EMP01672,Aug 2024,14817.5,223.71,1251.63,16292.84,2151.72,666.62,527.96,195.23,12706.63,Check,Marketing,USD
PAY000116,EMP01397,Mar 2024,13151.42,2556.29,593.33,16301.04,2108.32,349.44,467.09,185.97,12787.17,Direct Deposit,Marketing,USD
PAY000117,EMP01063,Jun 2024,7958.83,1239.92,789.42,9988.18,1368.61,597.5,377.73,21.81,7707.16,Direct Deposit,Operations,USD
PAY000118,EMP02023,May 2024,10022.92,560.29,576.11,11159.32,1383.38,500.47,358.78,152.59,8853.68,Direct Deposit,Legal,USD
PAY000119,EMP01276,Jun 2024,6495.17,1253.1,387.78,8136.05,1248.56,588.24,556.8,91.35,6055.12,Direct Deposit,QA,USD
PAY000120,EMP01888,Apr 2024,7415.92,154.65,872.32,8442.89,1364.68,742.47,280.82,32.45,6168.42,Check,QA,USD
PAY000121,EMP01390,Mar 2024,11423.08,2577.27,814.41,14814.76,1930.73,374.06,581.06,174.07,11596.88,Direct Deposit,Data Science,USD
PAY000122,EMP02075,Aug 2024,6862.92,1576.85,0.0,8439.76,1138.27,428.42,655.93,132.34,6542.64,Direct Deposit,Operations,USD
PAY000123,EMP01789,Apr 2024,8950.25,382.26,614.18,9946.69,1650.8,799.9,480.86,0.39,7195.36,Check,Legal,USD
PAY000124,EMP02093,Mar 2024,14247.5,3070.94,771.35,18089.8,2851.06,401.98,817.32,189.13,13338.03,Direct Deposit,Data Science,USD
PAY000125,EMP02076,Aug 2024,7499.33,1004.61,777.6,9281.54,1039.33,670.72,643.01,100.71,7549.33,Direct Deposit,Marketing,USD
PAY000126,EMP01089,Dec 2024,8959.0,1779.63,312.07,11050.7,1452.32,707.32,892.0,35.59,8630.16,Direct Deposit,DevOps,USD
PAY000127,EMP01363,Nov 2024,15574.42,1707.4,916.55,18198.36,2194.03,441.4,831.6,161.45,14541.65,Direct Deposit,Legal,USD
PAY000128,EMP01124,Feb 2024,12824.08,2512.31,692.01,16028.4,2416.65,682.95,768.33,174.6,12000.66,Direct Deposit,HR,USD
PAY000129,EMP01130,May 2024,14292.08,603.29,203.44,15098.81,2172.0,671.68,920.09,30.56,11478.82,Check,Operations,USD
PAY000130,EMP01638,Apr 2024,14092.5,1814.26,497.86,16404.62,2832.75,657.11,826.06,184.3,11683.37,Direct Deposit,HR,USD
PAY000131,EMP01264,Nov 2024,15133.92,631.6,58.13,15823.64,2111.4,752.32,948.87,131.93,12304.65,Direct Deposit,Product,USD
PAY000132,EMP01441,May 2024,6485.42,761.93,312.65,7560.0,1259.98,672.56,338.35,94.07,5460.04,Check,HR,USD
PAY000133,EMP01272,Jan 2024,8711.42,1878.34,67.82,10657.57,1361.73,405.87,588.39,113.21,8388.03,Check,Design,USD
PAY000134,EMP01245,Aug 2024,7999.92,220.83,643.5,8864.25,1484.83,646.38,471.0,140.11,6389.53,Direct Deposit,Finance,USD
PAY000135,EMP01586,Jan 2024,11257.5,1610.62,319.84,13187.96,1364.17,247.47,979.88,154.19,10914.34,Check,Data Science,USD
PAY000136,EMP02025,Nov 2024,7086.5,178.82,860.59,8125.92,1282.52,422.48,611.3,161.91,5988.39,Check,QA,USD
PAY000137,EMP01345,Mar 2024,17550.0,965.49,744.24,19259.73,3056.75,549.57,914.42,0.61,14165.15,Check,Research,USD
PAY000138,EMP01302,Feb 2024,8151.92,571.32,90.48,8813.71,1335.28,394.64,250.5,166.36,6588.24,Direct Deposit,Design,USD
PAY000139,EMP01354,Oct 2024,10328.83,1594.44,266.82,12190.09,1610.0,470.38,574.93,189.64,9506.76,Direct Deposit,Customer Success,USD
PAY000140,EMP01723,Aug 2024,8227.0,564.61,723.87,9515.48,1425.86,312.16,366.06,103.87,7139.04,Check,Product,USD
PAY000141,EMP01688,Jan 2024,10768.42,1778.39,37.73,12584.53,1955.14,565.25,814.45,188.33,9325.97,Check,Research,USD
PAY000142,EMP01936,Oct 2024,6332.33,1227.38,285.44,7845.16,975.7,504.28,580.03,65.53,6218.99,Direct Deposit,Marketing,USD
PAY000143,EMP01551,Apr 2024,8998.92,93.17,130.64,9222.73,1597.23,678.98,342.49,182.81,6560.69,Direct Deposit,Finance,USD
PAY000144,EMP01036,Feb 2024,10259.42,271.67,195.3,10726.38,1332.91,346.56,587.11,48.39,8504.86,Check,Design,USD
PAY000145,EMP02055,Aug 2024,15952.83,1190.56,666.95,17810.34,2676.13,320.54,1587.07,147.03,13350.13,Direct Deposit,Research,USD
PAY000146,EMP01729,Mar 2024,10545.08,1805.09,1436.48,13786.65,2036.29,301.0,995.11,119.95,10392.83,Check,Operations,USD
PAY000147,EMP01395,Oct 2024,17101.5,2988.01,379.46,20468.97,2539.64,233.15,1421.5,82.6,16236.24,Check,Product,USD
PAY000148,EMP01522,Mar 2024,6916.25,444.83,811.72,8172.8,991.99,589.01,553.94,2.8,6519.48,Check,Sales,USD
PAY000149,EMP01030,Nov 2024,7109.08,1093.73,644.77,8847.58,1083.4,718.38,327.39,81.97,7041.92,Direct Deposit,Sales,USD
PAY000150,EMP01694,Jan 2024,7926.42,186.07,901.93,9014.41,974.73,605.89,407.33,185.98,7389.87,Check,Legal,USD
PAY000151,EMP01821,Sep 2024,7785.17,445.41,1043.42,9274.0,1040.39,385.19,776.77,190.01,7540.02,Check,Marketing,USD
PAY000152,EMP01994,Aug 2024,8708.17,1243.94,1515.22,11467.32,1310.38,773.58,394.94,101.29,9283.37,Check,Security,USD
PAY000153,EMP01552,Mar 2024,14387.67,394.25,246.6,15028.52,2506.31,743.39,878.33,71.44,10851.35,Direct Deposit,Product,USD
PAY000154,EMP01847,Mar 2024,11382.67,1873.86,1296.54,14553.07,2347.4,261.56,492.55,130.9,10640.73,Direct Deposit,Operations,USD
PAY000155,EMP01668,Dec 2024,8348.0,1918.68,1017.11,11283.8,1365.07,796.7,698.92,185.23,9008.68,Direct Deposit,Research,USD
PAY000156,EMP01913,Nov 2024,14037.92,2154.93,1112.77,17305.62,1754.07,578.82,1337.45,175.84,14382.17,Direct Deposit,HR,USD
PAY000157,EMP01989,Feb 2024,15048.67,1345.51,1265.32,17659.49,2801.21,665.53,1191.7,138.04,12990.8,Direct Deposit,Marketing,USD
PAY000158,EMP01184,Oct 2024,15130.17,1737.65,1126.35,17994.17,2203.07,393.89,943.92,107.81,14322.39,Direct Deposit,Sales,USD
PAY000159,EMP01522,Feb 2024,6916.25,197.23,364.99,7478.46,846.84,739.34,482.13,165.72,6067.07,Check,Sales,USD
PAY000160,EMP01436,Aug 2024,8844.5,919.31,65.71,9829.52,1458.82,787.58,804.86,75.53,7398.15,Direct Deposit,Design,USD
PAY000161,EMP01380,Aug 2024,14833.33,1202.65,977.59,17013.57,2911.27,683.66,933.19,48.53,12161.46,Direct Deposit,Data Science,USD
PAY000162,EMP01815,Aug 2024,17278.75,2328.11,656.53,20263.39,3438.6,520.62,1567.43,12.08,14532.4,Check,HR,USD
PAY000163,EMP01264,Dec 2024,15133.92,1901.26,298.21,17333.39,2925.53,530.97,903.18,46.74,12457.51,Check,Product,USD
PAY000164,EMP01761,Aug 2024,8337.67,264.14,507.56,9109.37,1284.77,523.87,606.32,188.48,6968.08,Check,Marketing,USD
PAY000165,EMP01616,Dec 2024,12312.75,2839.26,226.56,15378.57,1946.72,798.07,883.21,18.74,12134.03,Check,Customer Success,USD
PAY000166,EMP01425,May 2024,6809.67,491.23,1579.21,8880.11,1011.24,283.29,662.56,195.91,7194.72,Check,HR,USD
PAY000167,EMP02200,Sep 2024,6653.08,1311.07,1391.26,9355.41,1065.46,456.34,565.71,163.16,7579.65,Direct Deposit,Customer Success,USD
PAY000168,EMP01958,Jan 2024,11594.83,1616.44,1124.62,14335.89,1515.71,356.89,967.5,99.22,11809.71,Check,QA,USD
PAY000169,EMP01555,Aug 2024,7275.17,1219.34,681.17,9175.67,1504.41,225.59,499.17,61.0,6668.33,Direct Deposit,QA,USD
PAY000170,EMP01489,Nov 2024,8260.83,145.0,100.9,8506.73,1256.26,717.6,279.2,107.73,6412.97,Direct Deposit,Research,USD
PAY000171,EMP01968,May 2024,7848.17,996.23,1442.34,10286.74,1297.77,795.34,442.57,136.77,8123.79,Check,Operations,USD
PAY000172,EMP01474,Jan 2024,8496.42,1955.79,0.0,10452.21,1170.05,290.63,744.87,198.52,8502.12,Direct Deposit,DevOps,USD
PAY000173,EMP02168,Apr 2024,9274.17,1782.24,437.33,11493.74,1339.37,424.15,331.36,171.12,9261.46,Check,Finance,USD
PAY000174,EMP01516,Feb 2024,7824.42,951.13,1066.87,9842.42,990.66,557.48,733.12,142.34,8191.32,Check,Sales,USD
PAY000175,EMP01984,May 2024,27835.58,1615.65,832.78,30284.01,4147.1,788.9,1575.61,134.45,23372.17,Check,Engineering,USD
PAY000176,EMP01127,Mar 2024,16114.42,1803.49,656.56,18574.46,2637.01,363.46,809.75,147.56,14179.45,Direct Deposit,Research,USD
PAY000177,EMP01538,Nov 2024,21435.0,2823.6,536.76,24795.35,3229.9,397.13,1377.22,104.67,19412.18,Direct Deposit,Sales,USD
PAY000178,EMP01051,Oct 2024,10813.67,848.05,665.6,12327.32,1708.61,482.72,504.72,10.55,9479.64,Direct Deposit,Security,USD
PAY000179,EMP01121,Dec 2024,5494.83,96.76,1063.8,6655.39,735.98,254.3,180.58,67.32,5428.75,Direct Deposit,Customer Success,USD
PAY000180,EMP02023,Apr 2024,10022.92,1388.06,520.53,11931.5,1866.61,307.8,533.87,144.44,8820.49,Check,Legal,USD
PAY000181,EMP02149,Dec 2024,12498.5,717.71,367.3,13583.51,1584.81,246.33,423.62,165.06,10942.16,Check,Design,USD
PAY000182,EMP01188,Mar 2024,6915.75,542.23,122.51,7580.49,923.18,298.91,281.85,154.16,6041.84,Check,Design,USD
PAY000183,EMP01695,Oct 2024,17972.17,2295.66,495.82,20763.65,3320.57,755.01,1025.49,9.49,15229.36,Direct Deposit,Data Science,USD
PAY000184,EMP01069,Jun 2024,12245.17,2211.23,516.07,14972.47,1625.47,287.29,1068.98,93.35,12263.35,Direct Deposit,Product,USD
PAY000185,EMP01395,Jul 2024,17101.5,3428.79,779.31,21309.6,2597.92,546.09,1562.41,122.59,16979.73,Check,Product,USD
PAY000186,EMP01159,Aug 2024,13186.58,1742.46,239.05,15168.1,1678.27,520.24,1225.1,99.37,12370.97,Check,Operations,USD
PAY000187,EMP01859,Dec 2024,12319.0,304.65,469.79,13093.45,2258.4,204.84,936.41,126.03,9329.45,Direct Deposit,Data Science,USD
PAY000188,EMP02066,Jul 2024,10969.5,1209.67,0.0,12179.17,2284.23,388.25,442.2,1.67,8372.12,Check,DevOps,USD
PAY000189,EMP01415,May 2024,13856.42,1250.65,721.83,15828.9,1961.72,587.34,592.65,136.84,12559.36,Check,Marketing,USD
PAY000190,EMP02122,Feb 2024,13177.0,2706.43,686.21,16569.64,1790.95,631.15,515.1,180.15,13584.73,Check,QA,USD
PAY000191,EMP01427,Jan 2024,9676.58,1853.15,567.29,12097.03,1388.5,256.8,912.45,115.21,9782.87,Direct Deposit,Engineering,USD
