review_id,employee_id,review_period,reviewer_id,overall_rating,goals_achieved_pct,communication_score,technical_score,leadership_score,collaboration_score,innovation_score,strengths,areas_for_improvement,promotion_recommended,salary_increase_recommended_pct,ai_sentiment_score,review_date
REV00044,EMP02059,Q1 2024,EMP01071,3,119,4,4,7,3,8,Problem solver,Technical depth,Yes,10,8.46,2023-07-10
REV00045,EMP01697,Q3 2024,EMP01054,4,57,7,8,4,3,8,Problem solver,Communication clarity,No,3,8.2,2023-12-23
REV00046,EMP01350,Q2 2024,EMP01020,3,52,7,10,10,4,3,Customer focused,Technical depth,Yes,3,1.77,2024-11-12
REV00047,EMP01570,Q3 2024,EMP01014,5,48,7,1,9,7,3,Innovative thinker,Strategic thinking,Yes,3,3.02,2024-08-18
REV00048,EMP01615,Q4 2023,EMP01005,5,40,6,8,6,3,10,Leadership potential,Stakeholder management,Yes,15,1.59,2024-11-27
REV00049,EMP01136,Q4 2024,EMP01073,2,57,1,8,3,4,10,Great communicator,Strategic thinking,Yes,17,3.37,2024-02-14
REV00050,EMP01481,Q3 2024,EMP01027,5,92,4,7,10,9,6,Great communicator,Stakeholder management,No,13,6.84,2024-01-05
REV00051,EMP01515,Q4 2024,EMP01056,4,114,2,10,7,7,10,Customer focused,Stakeholder management,Yes,5,2.24,2024-01-23
REV00052,EMP01407,Q3 2024,EMP01028,4,113,6,2,5,4,8,Strong technical skills,Documentation,Yes,6,8.99,2023-09-15
REV00053,EMP01227,Q3 2024,EMP01078,2,93,3,7,4,2,8,Customer focused,Stakeholder management,Yes,8,2.33,2023-05-29
REV00054,EMP01146,Annual 2024,EMP01034,3,78,3,2,10,8,4,Great communicator,Documentation,No,0,9.25,2023-09-21
REV00055,EMP01641,Q2 2024,EMP01019,2,81,2,1,3,10,6,Team player,Documentation,No,10,1.13,2023-07-30
REV00056,EMP01345,Q2 2024,EMP01027,4,43,5,6,4,6,2,Team player,Technical depth,No,6,9.86,2024-12-26
REV00057,EMP01434,Q2 2024,EMP01042,2,96,2,10,2,7,4,Team player,Technical depth,Yes,14,6.65,2024-12-19
REV00058,EMP01520,Annual 2024,EMP01042,3,67,4,9,3,6,5,Great communicator,Stakeholder management,No,17,6.14,2023-05-25
REV00059,EMP02009,Annual 2023,EMP01029,2,90,9,3,10,10,5,Reliable and consistent,Strategic thinking,Yes,5,9.36,2023-11-07
REV00060,EMP01503,Q4 2023,EMP01078,2,111,7,10,2,10,9,Great communicator,Stakeholder management,No,11,9.47,2024-09-03
REV00061,EMP01881,Q2 2024,EMP01026,2,78,6,4,7,6,2,Team player,Communication clarity,No,13,2.0,2023-08-17
REV00062,EMP01600,Q4 2023,EMP01038,4,89,2,7,2,7,1,Reliable and consistent,Technical depth,No,7,5.07,2023-01-21
REV00063,EMP01697,Annual 2024,EMP01054,4,70,7,8,2,3,8,Innovative thinker,Stakeholder management,Yes,13,6.45,2024-01-19
REV00064,EMP01353,Annual 2024,EMP01036,2,53,8,9,10,5,1,Leadership potential,Strategic thinking,No,4,9.89,2024-03-12
REV00065,EMP01644,Q2 2024,EMP01038,5,74,2,9,7,3,10,Team player,Time management,No,3,6.8,2024-03-30
REV00066,EMP01805,Annual 2023,EMP01081,4,111,7,5,8,5,1,Great communicator,Strategic thinking,No,20,4.27,2023-09-10
REV00067,EMP01179,Q4 2023,EMP01096,5,81,1,5,7,2,7,Great communicator,Technical depth,No,17,8.61,2023-10-06
REV00068,EMP01076,Q2 2024,EMP01063,4,99,3,7,8,6,5,Reliable and consistent,Stakeholder management,No,18,6.69,2024-08-18
REV00069,EMP01434,Q1 2024,EMP01042,3,85,1,10,6,7,4,Leadership potential,Documentation,Yes,6,5.59,2024-10-23
REV00070,EMP01471,Q2 2024,EMP01016,4,106,3,4,2,4,3,Leadership potential,Stakeholder management,No,6,9.05,2023-11-13
REV00071,EMP01295,Q3 2024,EMP01055,4,86,10,10,2,10,8,Customer focused,Stakeholder management,No,16,4.26,2024-02-06
REV00072,EMP02027,Annual 2024,EMP01085,4,58,3,6,5,4,8,Leadership potential,Communication clarity,No,12,2.59,2024-05-24
REV00073,EMP01141,Q1 2024,EMP01092,4,54,7,6,4,6,10,Reliable and consistent,Technical depth,No,19,3.42,2024-01-14
REV00074,EMP02191,Q1 2024,EMP01026,3,112,9,10,6,9,3,Innovative thinker,Strategic thinking,No,7,8.04,2023-03-04
REV00075,EMP01883,Q4 2024,EMP01096,4,59,9,6,6,5,2,Customer focused,Strategic thinking,No,19,3.69,2023-08-13
REV00076,EMP01127,Q3 2024,EMP01012,5,55,5,3,2,6,5,Innovative thinker,Documentation,Yes,18,4.61,2024-02-03
REV00077,EMP01215,Q3 2024,EMP01019,4,86,8,5,1,5,1,Reliable and consistent,Communication clarity,No,20,7.22,2023-01-21
REV00078,EMP01291,Q3 2024,EMP01091,3,99,7,7,4,1,8,Customer focused,Strategic thinking,No,15,3.88,2024-11-14
REV00079,EMP01940,Q1 2024,EMP01075,1,85,2,10,5,1,8,Problem solver,Communication clarity,Yes,13,1.92,2023-02-12
REV00080,EMP01402,Q1 2024,EMP01006,4,48,8,1,9,3,10,Problem solver,Communication clarity,Yes,18,2.29,2023-11-22
REV00081,EMP01130,Annual 2024,EMP01082,4,119,1,1,3,10,6,Strong technical skills,Time management,Yes,9,4.97,2024-11-21
REV00082,EMP01643,Q2 2024,EMP01079,4,84,6,6,3,4,8,Team player,Documentation,No,0,3.27,2024-05-21
REV00083,EMP01502,Q4 2023,EMP01076,4,77,6,7,9,5,5,Problem solver,Stakeholder management,No,6,2.9,2023-09-09
REV00084,EMP02136,Annual 2024,EMP01002,4,109,5,7,6,2,10,Strong technical skills,Communication clarity,Yes,17,2.8,2023-02-24
REV00085,EMP01812,Q2 2024,EMP01035,3,66,1,2,7,1,7,Innovative thinker,Documentation,Yes,18,1.37,2024-01-10
REV00086,EMP01934,Annual 2023,EMP01069,4,77,2,8,8,4,4,Innovative thinker,Documentation,No,20,1.38,2024-12-21
REV00087,EMP01654,Q1 2024,EMP01071,4,59,2,9,3,2,7,Strong technical skills,Stakeholder management,No,18,2.48,2023-08-14
REV00088,EMP01101,Q4 2024,EMP01039,5,99,9,2,2,1,9,Strong technical skills,Communication clarity,No,17,6.01,2024-02-13
REV00089,EMP01840,Annual 2023,EMP01024,4,40,3,6,8,10,6,Team player,Technical depth,No,9,3.43,2023-03-07
REV00090,EMP01104,Q4 2024,EMP01091,4,64,6,5,8,3,9,Leadership potential,Communication clarity,No,18,7.31,2023-06-16
REV00091,EMP01447,Annual 2024,EMP01051,1,60,4,9,5,10,3,Strong technical skills,Communication clarity,Yes,15,6.7,2024-09-29
REV00092,EMP01113,Q3 2024,EMP01049,3,117,1,10,1,4,10,Reliable and consistent,Stakeholder management,No,16,9.05,2024-09-22
REV00093,EMP01357,Q4 2024,EMP01049,3,113,2,1,7,8,4,Team player,Communication clarity,No,5,5.0,2023-11-24
REV00094,EMP01316,Annual 2024,EMP01026,3,46,3,5,10,7,7,Problem solver,Communication clarity,No,11,5.93,2023-12-06
REV00095,EMP02078,Q2 2024,EMP01030,1,40,2,6,5,5,5,Innovative thinker,Stakeholder management,No,4,1.04,2023-10-05
REV00096,EMP01088,Q3 2024,EMP01051,2,110,8,1,4,3,3,Great communicator,Documentation,No,14,3.95,2024-09-18
REV00097,EMP01084,Q2 2024,EMP01013,3,72,10,9,4,10,2,Strong technical skills,Communication clarity,No,0,7.22,2023-04-19
REV00098,EMP02057,Q1 2024,EMP01007,3,102,3,9,2,1,3,Customer focused,Communication clarity,No,10,8.36,2024-04-03
REV00099,EMP01476,Q3 2024,EMP01048,5,54,3,7,4,8,1,Strong technical skills,Stakeholder management,No,13,7.93,2024-11-01
REV00100,EMP02086,Q2 2024,EMP01007,3,42,3,3,6,2,8,Leadership potential,Stakeholder management,No,17,6.61,2023-06-28
REV00101,EMP01173,Q2 2024,EMP01078,4,93,3,2,4,4,5,Reliable and consistent,Strategic thinking,Yes,17,2.59,2024-09-29
REV00102,EMP01532,Q4 2023,EMP01067,5,90,3,2,10,3,10,Reliable and consistent,Strategic thinking,Yes,18,9.07,2024-08-03
REV00103,EMP01444,Annual 2024,EMP01071,3,78,8,6,4,8,7,Team player,Stakeholder management,No,5,4.14,2024-03-03
REV00104,EMP01432,Annual 2024,EMP01038,4,109,7,5,8,7,7,Reliable and consistent,Documentation,Yes,15,5.37,2023-01-05
REV00105,EMP01471,Q1 2024,EMP01016,4,86,1,7,8,10,10,Leadership potential,Technical depth,Yes,2,1.89,2024-08-22
REV00106,EMP01936,Q1 2024,EMP01083,3,57,6,7,9,8,1,Innovative thinker,Communication clarity,No,8,4.4,2024-09-17
REV00107,EMP01720,Q4 2024,EMP01028,3,109,1,5,7,7,1,Leadership potential,Communication clarity,No,5,5.54,2023-02-02
REV00108,EMP02047,Q3 2024,EMP01007,2,58,8,6,1,3,1,Problem solver,Communication clarity,Yes,5,1.99,2023-08-18
REV00109,EMP01815,Q1 2024,EMP01023,4,76,5,7,3,8,7,Team player,Technical depth,Yes,9,5.6,2023-09-27
REV00110,EMP01859,Annual 2024,EMP01053,4,51,6,2,3,10,6,Innovative thinker,Technical depth,No,19,3.16,2024-07-13
REV00111,EMP01455,Q2 2024,EMP01042,5,69,6,9,5,10,10,Great communicator,Stakeholder management,No,11,3.01,2023-12-23
REV00112,EMP02114,Annual 2023,EMP01094,4,83,3,3,9,8,6,Great communicator,Communication clarity,Yes,18,7.24,2023-03-09
REV00113,EMP01797,Q1 2024,EMP01049,4,78,10,8,4,2,2,Great communicator,Technical depth,No,13,3.15,2024-03-09
REV00114,EMP01043,Q4 2024,EMP01070,4,52,1,6,1,5,6,Leadership potential,Documentation,Yes,19,6.89,2024-10-26
REV00115,EMP01399,Q1 2024,EMP01025,1,86,10,8,6,9,4,Innovative thinker,Documentation,Yes,11,6.4,2023-10-07
REV00116,EMP01250,Q1 2024,EMP01003,4,60,1,9,5,2,9,Problem solver,Strategic thinking,No,10,3.44,2023-02-06
REV00117,EMP01671,Q4 2024,EMP01020,3,81,6,1,6,5,2,Reliable and consistent,Time management,No,1,6.16,2024-04-13
REV00118,EMP01534,Annual 2024,EMP01092,3,99,1,8,10,7,1,Leadership potential,Time management,No,18,3.48,2023-08-05
REV00119,EMP02110,Q3 2024,EMP01021,5,61,9,5,9,4,7,Reliable and consistent,Technical depth,No,11,5.84,2023-06-13
REV00120,EMP01698,Q4 2023,EMP01013,4,92,10,10,3,3,7,Great communicator,Technical depth,No,18,7.06,2023-09-15
REV00121,EMP01871,Q1 2024,EMP01091,3,42,9,3,8,7,2,Strong technical skills,Time management,No,7,4.19,2023-03-20
REV00122,EMP01959,Q2 2024,EMP01004,5,73,6,10,7,10,2,Reliable and consistent,Stakeholder management,No,8,6.41,2023-07-19
REV00123,EMP01816,Q3 2024,EMP01033,5,94,4,4,8,6,10,Innovative thinker,Strategic thinking,Yes,7,7.59,2024-04-29
REV00124,EMP02032,Q4 2024,EMP01092,4,40,2,9,9,2,2,Great communicator,Documentation,No,7,8.17,2024-09-16
REV00125,EMP01475,Annual 2023,EMP01060,5,66,4,2,5,4,3,Innovative thinker,Time management,No,0,7.02,2023-04-11
REV00126,EMP01212,Q4 2023,EMP01047,4,117,7,4,4,9,8,Strong technical skills,Strategic thinking,Yes,6,7.08,2023-06-26
REV00127,EMP01254,Annual 2023,EMP01016,2,104,3,3,1,5,5,Innovative thinker,Documentation,No,10,2.01,2024-05-17
REV00128,EMP01748,Annual 2024,EMP01098,5,111,2,7,5,10,6,Customer focused,Time management,Yes,9,9.75,2024-11-15
REV00129,EMP01495,Q4 2024,EMP01016,4,41,3,9,5,3,3,Innovative thinker,Time management,No,1,7.36,2024-07-06
REV00130,EMP02178,Annual 2024,EMP01042,4,68,2,4,8,8,5,Team player,Technical depth,Yes,7,9.88,2023-03-02
REV00131,EMP01496,Annual 2023,EMP01070,4,113,3,6,2,8,4,Team player,Communication clarity,Yes,16,2.04,2024-02-23
REV00132,EMP01721,Q2 2024,EMP01098,3,50,6,3,10,8,10,Leadership potential,Strategic thinking,Yes,9,4.64,2023-03-25
REV00133,EMP01134,Q4 2023,EMP01002,5,41,1,7,3,1,9,Problem solver,Time management,No,8,1.09,2024-11-03
REV00134,EMP01547,Q4 2023,EMP01077,3,83,4,7,3,10,3,Great communicator,Documentation,No,10,1.39,2023-04-13
REV00135,EMP01153,Q2 2024,EMP01035,3,117,7,9,10,6,1,Problem solver,Strategic thinking,Yes,16,3.57,2024-08-22
REV00136,EMP01864,Q3 2024,EMP01003,3,114,5,10,8,3,6,Innovative thinker,Stakeholder management,No,1,3.6,2023-09-14
REV00137,EMP02149,Annual 2024,EMP01043,3,56,2,8,6,7,4,Innovative thinker,Strategic thinking,Yes,8,8.32,2023-11-30
REV00138,EMP01148,Annual 2024,EMP01056,3,73,5,7,6,8,5,Great communicator,Technical depth,Yes,5,3.85,2024-12-21
REV00139,EMP01740,Annual 2024,EMP01033,4,90,5,7,6,1,9,Team player,Time management,Yes,7,9.83,2024-05-02
REV00140,EMP01811,Q3 2024,EMP01033,3,70,10,2,4,7,10,Customer focused,Technical depth,Yes,16,2.97,2023-08-08
REV00141,EMP01701,Q4 2023,EMP01076,4,56,8,2,6,5,3,Problem solver,Technical depth,Yes,5,9.96,2023-01-02
REV00142,EMP02047,Q2 2024,EMP01007,5,66,5,2,3,5,8,Problem solver,Communication clarity,No,14,9.22,2023-02-14
REV00143,EMP01642,Q3 2024,EMP01009,5,116,8,6,4,8,1,Strong technical skills,Stakeholder management,No,5,3.11,2024-09-10
REV00144,EMP01810,Annual 2023,EMP01089,4,102,8,4,4,6,3,Great communicator,Time management,No,10,9.24,2023-07-13
REV00145,EMP01935,Q4 2023,EMP01069,3,109,3,7,4,3,2,Innovative thinker,Technical depth,Yes,1,6.01,2023-12-21
REV00146,EMP02120,Q4 2024,EMP01049,4,114,9,2,9,2,2,Innovative thinker,Communication clarity,No,3,5.47,2024-12-28
REV00147,EMP01814,Q2 2024,EMP01055,3,40,7,5,4,4,10,Reliable and consistent,Technical depth,No,9,2.76,2023-10-18
REV00148,EMP01821,Annual 2023,EMP01016,4,52,10,8,3,1,5,Strong technical skills,Strategic thinking,No,5,3.62,2023-10-11
REV00149,EMP02133,Q2 2024,EMP01054,5,44,1,10,2,8,4,Great communicator,Stakeholder management,No,7,2.2,2024-10-25
REV00150,EMP01336,Q1 2024,EMP01031,4,103,3,5,5,8,9,Team player,Strategic thinking,Yes,15,2.07,2023-05-19
REV00151,EMP01124,Q2 2024,EMP01063,3,119,9,10,7,10,2,Strong technical skills,Communication clarity,Yes,3,6.12,2024-05-30
REV00152,EMP01961,Q2 2024,EMP01027,4,60,5,5,10,6,3,Strong technical skills,Stakeholder management,No,18,6.25,2023-03-20
REV00153,EMP01516,Q2 2024,EMP01006,5,109,4,2,2,10,8,Customer focused,Strategic thinking,No,11,1.96,2024-02-20
REV00154,EMP01518,Annual 2024,EMP01076,5,53,9,1,1,6,5,Innovative thinker,Time management,No,14,4.94,2023-03-02
REV00155,EMP01172,Annual 2023,EMP01043,5,68,2,7,3,6,8,Reliable and consistent,Time management,Yes,1,1.17,2024-01-31
REV00156,EMP01591,Annual 2024,EMP01001,4,100,5,4,10,8,4,Innovative thinker,Stakeholder management,Yes,17,3.43,2024-01-10
REV00157,EMP01726,Q1 2024,EMP01022,5,69,1,3,2,3,10,Great communicator,Strategic thinking,No,6,4.66,2024-04-30
REV00158,EMP01196,Q3 2024,EMP01066,5,51,3,10,9,1,4,Great communicator,Time management,No,12,2.38,2024-03-27
REV00159,EMP01041,Q3 2024,EMP01076,1,98,5,9,3,6,3,Problem solver,Strategic thinking,No,10,3.53,2024-02-07
REV00160,EMP01489,Annual 2024,EMP01085,4,75,8,7,4,2,7,Great communicator,Technical depth,Yes,11,9.09,2023-02-24
REV00161,EMP01301,Q4 2023,EMP01044,3,76,3,4,8,3,5,Leadership potential,Stakeholder management,No,12,7.71,2023-05-09
REV00162,EMP01249,Q4 2023,EMP01072,5,101,7,2,8,5,8,Strong technical skills,Technical depth,Yes,10,9.46,2023-05-27
REV00163,EMP01434,Annual 2023,EMP01042,4,45,6,10,7,5,3,Reliable and consistent,Technical depth,No,14,5.79,2024-01-20
REV00164,EMP01402,Q2 2024,EMP01006,4,119,7,1,4,5,9,Customer focused,Communication clarity,Yes,3,4.85,2023-05-06
REV00165,EMP01505,Q4 2023,EMP01073,5,70,10,10,6,3,2,Great communicator,Documentation,Yes,8,8.31,2023-09-19
REV00166,EMP01008,Q1 2024,EMP01045,1,73,4,8,10,1,9,Leadership potential,Strategic thinking,Yes,16,8.24,2023-09-04
REV00167,EMP01492,Q4 2024,EMP01004,4,87,6,9,4,7,5,Reliable and consistent,Technical depth,No,14,4.36,2024-09-19
REV00168,EMP01646,Q4 2024,EMP01026,4,101,5,3,6,5,3,Strong technical skills,Documentation,Yes,6,4.46,2023-06-21
REV00169,EMP02173,Q4 2023,EMP01032,3,105,5,10,8,9,6,Strong technical skills,Documentation,No,16,8.76,2024-03-17
REV00170,EMP02182,Q4 2023,EMP01024,4,69,1,9,2,6,9,Strong technical skills,Strategic thinking,No,14,5.7,2024-09-01
REV00171,EMP01387,Q3 2024,EMP01013,2,117,4,3,5,7,8,Great communicator,Documentation,No,19,6.34,2024-04-20
REV00172,EMP01489,Q2 2024,EMP01085,3,53,1,1,3,10,6,Leadership potential,Communication clarity,Yes,2,8.21,2024-07-26
REV00173,EMP01699,Q3 2024,EMP01099,4,86,4,3,1,10,4,Leadership potential,Time management,No,20,1.18,2023-10-23
REV00174,EMP01454,Annual 2024,EMP01086,3,53,10,8,3,10,5,Great communicator,Documentation,Yes,6,4.85,2023-12-02
REV00175,EMP01771,Q1 2024,EMP01069,3,68,3,9,10,5,1,Great communicator,Time management,No,2,8.49,2023-02-04
REV00176,EMP02098,Q2 2024,EMP01049,5,102,1,10,8,2,9,Innovative thinker,Stakeholder management,No,18,1.51,2024-04-21
REV00177,EMP01683,Annual 2024,EMP01037,4,100,4,2,7,10,3,Customer focused,Technical depth,No,5,5.41,2024-02-28
REV00178,EMP01074,Q1 2024,EMP01055,1,91,10,8,8,5,1,Strong technical skills,Strategic thinking,No,1,1.57,2023-08-09
REV00179,EMP01194,Q3 2024,EMP01054,4,90,7,2,9,1,7,Great communicator,Time management,No,10,8.08,2024-04-09
REV00180,EMP01065,Q1 2024,EMP01099,4,42,2,1,3,3,3,Great communicator,Communication clarity,No,17,8.46,2024-09-20
REV00181,EMP01066,Q3 2024,EMP01093,2,44,2,2,9,2,7,Team player,Technical depth,No,3,1.05,2024-01-27
REV00182,EMP01669,Q4 2023,EMP01033,4,101,2,1,2,5,10,Innovative thinker,Time management,Yes,13,3.06,2023-07-03
REV00183,EMP01812,Q2 2024,EMP01035,4,86,2,10,7,5,3,Reliable and consistent,Strategic thinking,No,3,4.89,2023-05-30
REV00184,EMP01157,Q1 2024,EMP01087,5,102,1,3,6,5,5,Leadership potential,Technical depth,Yes,1,9.75,2024-12-24
REV00185,EMP01408,Annual 2023,EMP01051,3,50,9,3,6,5,9,Strong technical skills,Technical depth,No,11,6.56,2023-12-03
REV00186,EMP01004,Q2 2024,EMP01041,3,72,3,7,4,4,6,Problem solver,Communication clarity,Yes,14,6.66,2023-10-22
REV00187,EMP01729,Q4 2023,EMP01038,4,55,4,3,1,3,1,Leadership potential,Time management,No,19,8.22,2023-05-14
REV00188,EMP01026,Q2 2024,EMP01033,2,107,7,8,7,8,5,Innovative thinker,Strategic thinking,No,5,5.59,2024-05-15
REV00189,EMP01807,Q1 2024,EMP01054,4,64,10,1,1,5,10,Leadership potential,Communication clarity,Yes,18,9.23,2024-03-03
REV00190,EMP01566,Annual 2024,EMP01035,3,95,3,10,7,1,3,Leadership potential,Documentation,Yes,19,6.38,2024-10-14
REV00191,EMP01066,Q3 2024,EMP01093,4,103,2,7,5,10,6,Innovative thinker,Technical depth,No,8,7.6,2024-02-21
REV00192,EMP01501,Q4 2023,EMP01007,4,55,4,8,2,6,4,Innovative thinker,Communication clarity,No,16,7.72,2023-08-05
REV00193,EMP01928,Annual 2024,EMP01009,3,99,4,3,3,8,7,Leadership potential,Technical depth,Yes,17,6.68,2023-05-12
REV00194,EMP01720,Annual 2024,EMP01028,3,116,5,7,5,6,5,Strong technical skills,Communication clarity,Yes,0,2.4,2023-04-13
REV00195,EMP01440,Q2 2024,EMP01019,3,81,10,5,6,4,9,Problem solver,Communication clarity,No,7,3.75,2023-12-07
REV00196,EMP02057,Q2 2024,EMP01007,3,89,7,9,3,3,9,Leadership potential,Technical depth,No,11,3.73,2024-10-11
REV00197,EMP01218,Annual 2023,EMP01011,1,68,10,9,1,2,4,Team player,Documentation,No,20,4.57,2024-09-18
REV00198,EMP01116,Q3 2024,EMP01067,4,101,1,2,5,2,2,Great communicator,Technical depth,No,3,6.73,2023-06-07
REV00199,EMP01308,Q1 2024,EMP01070,3,118,5,3,9,2,2,Reliable and consistent,Strategic thinking,No,12,4.04,2024-08-13
REV00200,EMP02135,Q1 2024,EMP01036,3,116,8,6,1,6,8,Problem solver,Time management,Yes,2,1.35,2024-09-10
REV00201,EMP01810,Annual 2024,EMP01089,2,43,10,5,5,4,1,Strong technical skills,Communication clarity,No,15,3.03,2023-01-15
REV00202,EMP01992,Q4 2023,EMP01057,3,112,5,3,8,7,4,Strong technical skills,Documentation,No,5,4.44,2023-07-22
REV00203,EMP01243,Annual 2024,EMP01089,3,96,7,4,2,2,5,Team player,Time management,Yes,14,4.06,2024-09-03
REV00204,EMP01729,Annual 2024,EMP01038,5,100,2,5,2,5,3,Leadership potential,Documentation,Yes,4,6.33,2023-02-01
REV00205,EMP02167,Q4 2023,EMP01005,4,72,7,2,5,4,9,Team player,Documentation,No,2,4.72,2023-11-04
